"WO","District","LeadTech","Service","Rush","ReqDate","WorkDate","Techs","WtyLbr","WtyParts"," LbrHrs "," PartsCost ","Payment"," Wait ","LbrRate"," LbrCost "," LbrFee "," PartsFee "," TotalCost "," TotalFee ","ReqDay","WorkDay","ROW_NUMBER","FILE_NAME","FILE_DATE"
"A00116","West","Burton","Assess","","05-Sep-20","22-Sep-20",1,"","",1.5," 48.00 ","C.O.D."," 17 ",80," 120.00 "," 120.00 "," 48.00 "," 168.00 "," 168.00 ","Sat","Tue",17,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00117","Northwest","Burton","Assess","","07-Sep-20","10-Sep-20",2,"","",0.25," 204.28 ","Account"," 3 ",140," 35.00 "," 35.00 "," 204.28 "," 239.28 "," 239.28 ","Mon","Thu",18,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00118","Northwest","Cartier","Replace","","08-Sep-20","15-Sep-20",2,"","",0.5," 240.00 ","Account"," 7 ",140," 70.00 "," 70.00 "," 240.00 "," 310.00 "," 310.00 ","Tue","Tue",19,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00119","Southeast","Khan","Replace","","08-Sep-20","17-Sep-20",2,"","",0.5," 120.00 ","Account"," 9 ",140," 70.00 "," 70.00 "," 120.00 "," 190.00 "," 190.00 ","Tue","Thu",20,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00120","Central","Cartier","Repair","","08-Sep-20","21-Sep-20",1,"","",1.75," 475.00 ","Account"," 13 ",80," 140.00 "," 140.00 "," 475.00 "," 615.00 "," 615.00 ","Tue","Mon",21,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00121","Southeast","Khan","Replace","","08-Sep-20","22-Sep-20",1,"","",1.75," 341.00 ","C.O.D."," 14 ",80," 140.00 "," 140.00 "," 341.00 "," 481.00 "," 481.00 ","Tue","Tue",22,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00122","Northwest","Khan","Assess","","08-Sep-20","28-Oct-20",1,"","",0.75," 61.18 ","C.O.D."," 50 ",80," 60.00 "," 60.00 "," 61.18 "," 121.18 "," 121.18 ","Tue","Wed",23,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00123","South","Lopez","Replace","","08-Sep-20","17-Nov-20",1,"","",0.5," 155.39 ","Account"," 70 ",80," 40.00 "," 40.00 "," 155.39 "," 195.39 "," 195.39 ","Tue","Tue",24,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00124","Northwest","Michner","Replace","Yes","09-Sep-20","24-Sep-20",2,"","",0.5," 204.28 ","C.O.D."," 15 ",140," 70.00 "," 70.00 "," 204.28 "," 274.28 "," 274.28 ","Wed","Thu",25,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00125","South","Lopez","Assess","","09-Sep-20","29-Sep-20",1,"","",0.5," 37.92 ","Account"," 20 ",80," 40.00 "," 40.00 "," 37.92 "," 77.92 "," 77.92 ","Wed","Tue",26,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00126","Northwest","Burton","Deliver","Yes","09-Sep-20","29-Sep-20",1,"","",0.25," 88.41 ","Account"," 20 ",80," 20.00 "," 20.00 "," 88.41 "," 108.41 "," 108.41 ","Wed","Tue",27,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00127","South","Lopez","Deliver","","09-Sep-20","29-Sep-20",1,"","",0.25," 202.29 ","Account"," 20 ",80," 20.00 "," 20.00 "," 202.29 "," 222.29 "," 222.29 ","Wed","Tue",28,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00128","West","Khan","Assess","","10-Sep-20","28-Sep-20",1,"","",0.5," 120.00 ","P.O."," 18 ",80," 40.00 "," 40.00 "," 120.00 "," 160.00 "," 160.00 ","Thu","Mon",29,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00129","Northwest","Michner","Deliver","","11-Sep-20","14-Sep-20",1,"","",0.25," 120.00 ","Account"," 3 ",80," 20.00 "," 20.00 "," 120.00 "," 140.00 "," 140.00 ","Fri","Mon",30,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00130","Southwest","Cartier","Replace","","11-Sep-20","15-Sep-20",2,"","",0.5," 535.62 ","C.O.D."," 4 ",140," 70.00 "," 70.00 "," 535.62 "," 605.62 "," 605.62 ","Fri","Tue",31,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00131","Northwest","Khan","Assess","","11-Sep-20","23-Sep-20",2,"","",0.25," 24.63 ","Account"," 12 ",140," 35.00 "," 35.00 "," 24.63 "," 59.63 "," 59.63 ","Fri","Wed",32,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00132","Northwest","Khan","Replace","","11-Sep-20","26-Sep-20",2,"","",0.5," 43.26 ","Account"," 15 ",140," 70.00 "," 70.00 "," 43.26 "," 113.26 "," 113.26 ","Fri","Sat",33,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00133","West","Khan","Assess","","11-Sep-20","06-Oct-20",1,"","",0.25," 21.33 ","Account"," 25 ",80," 20.00 "," 20.00 "," 21.33 "," 41.33 "," 41.33 ","Fri","Tue",34,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00134","West","Khan","Replace","","12-Sep-20","28-Sep-20",1,"","",1.0," 0.46 ","C.O.D."," 16 ",80," 80.00 "," 80.00 "," 0.46 "," 80.46 "," 80.46 ","Sat","Mon",35,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00135","Northwest","Khan","Assess","","14-Sep-20","24-Sep-20",2,"","",0.25," 126.62 ","C.O.D."," 10 ",140," 35.00 "," 35.00 "," 126.62 "," 161.62 "," 161.62 ","Mon","Thu",36,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00136","West","Khan","Replace","","14-Sep-20","28-Sep-20",1,"","",1.5," 251.00 ","Account"," 14 ",80," 120.00 "," 120.00 "," 251.00 "," 371.00 "," 371.00 ","Mon","Mon",37,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00137","Southeast","Cartier","Assess","Yes","14-Sep-20","05-Oct-20",1,"","",0.5," 395.28 ","P.O."," 21 ",80," 40.00 "," 40.00 "," 395.28 "," 435.28 "," 435.28 ","Mon","Mon",38,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00138","Northwest","Michner","Deliver","Yes","14-Sep-20","07-Oct-20",1,"","",0.25," 36.00 ","Account"," 23 ",80," 20.00 "," 20.00 "," 36.00 "," 56.00 "," 56.00 ","Mon","Wed",39,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00139","South","Lopez","Assess","","14-Sep-20","23-Nov-20",1,"","",1.75," 510.68 ","P.O."," 70 ",80," 140.00 "," 140.00 "," 510.68 "," 650.68 "," 650.68 ","Mon","Mon",40,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00140","Northwest","Michner","Replace","","15-Sep-20","07-Oct-20",2,"","",0.5," 42.66 ","Account"," 22 ",140," 70.00 "," 70.00 "," 42.66 "," 112.66 "," 112.66 ","Tue","Wed",41,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00141","West","Khan","Replace","","16-Sep-20","28-Sep-20",1,"","",1.0," 5.47 ","C.O.D."," 12 ",80," 80.00 "," 80.00 "," 5.47 "," 85.47 "," 85.47 ","Wed","Mon",42,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00142","Northwest","Khan","Assess","Yes","16-Sep-20","28-Sep-20",1,"","",0.25," 45.24 ","Account"," 12 ",80," 20.00 "," 20.00 "," 45.24 "," 65.24 "," 65.24 ","Wed","Mon",43,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00143","Northwest","Burton","Assess","","16-Sep-20","01-Oct-20",2,"","",0.75," 199.45 ","C.O.D."," 15 ",140," 105.00 "," 105.00 "," 199.45 "," 304.45 "," 304.45 ","Wed","Thu",44,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00144","Southeast","Burton","Assess","","16-Sep-20","05-Oct-20",2,"","",0.5," 144.00 ","C.O.D."," 19 ",140," 70.00 "," 70.00 "," 144.00 "," 214.00 "," 214.00 ","Wed","Mon",45,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00145","Southeast","Burton","Deliver","","17-Sep-20","06-Oct-20",1,"","",0.25," 6.22 ","C.O.D."," 19 ",80," 20.00 "," 20.00 "," 6.22 "," 26.22 "," 26.22 ","Thu","Tue",46,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00146","Northwest","Michner","Replace","","17-Sep-20","12-Oct-20",2,"","",1.0," 36.00 ","Account"," 25 ",140," 140.00 "," 140.00 "," 36.00 "," 176.00 "," 176.00 ","Thu","Mon",47,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00147","Central","Cartier","Assess","","17-Sep-20","12-Oct-20",2,"","",0.75," 40.00 ","C.O.D."," 25 ",140," 105.00 "," 105.00 "," 40.00 "," 145.00 "," 145.00 ","Thu","Mon",48,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00148","South","Lopez","Assess","","17-Sep-20","17-Nov-20",1,"","",0.25," 87.58 ","Account"," 61 ",80," 20.00 "," 20.00 "," 87.58 "," 107.58 "," 107.58 ","Thu","Tue",49,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00149","West","Khan","Replace","","21-Sep-20","28-Sep-20",1,"","",0.5," 30.00 ","C.O.D."," 7 ",80," 40.00 "," 40.00 "," 30.00 "," 70.00 "," 70.00 ","Mon","Mon",50,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00150","Southeast","Michner","Deliver","","21-Sep-20","19-Oct-20",1,"","",0.25," 144.00 ","P.O."," 28 ",80," 20.00 "," 20.00 "," 144.00 "," 164.00 "," 164.00 ","Mon","Mon",51,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00151","West","Khan","Replace","Yes","21-Sep-20","04-Nov-20",1,"","",0.75," 297.51 ","Account"," 44 ",80," 60.00 "," 60.00 "," 297.51 "," 357.51 "," 357.51 ","Mon","Wed",52,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00152","West","Michner","Assess","","21-Sep-20","25-Nov-20",1,"","",0.5," 64.17 ","P.O."," 65 ",80," 40.00 "," 40.00 "," 64.17 "," 104.17 "," 104.17 ","Mon","Wed",53,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00153","South","Lopez","Deliver","","22-Sep-20","01-Oct-20",1,"","",0.25," 20.48 ","Account"," 9 ",80," 20.00 "," 20.00 "," 20.48 "," 40.48 "," 40.48 ","Tue","Thu",54,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00154","West","Khan","Repair","","23-Sep-20","07-Oct-20",1,"","",1.0," 200.00 ","C.O.D."," 14 ",80," 80.00 "," 80.00 "," 200.00 "," 280.00 "," 280.00 ","Wed","Wed",55,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00155","Southeast","Burton","Repair","","23-Sep-20","15-Oct-20",1,"","",1.5," 123.96 ","C.O.D."," 22 ",80," 120.00 "," 120.00 "," 123.96 "," 243.96 "," 243.96 ","Wed","Thu",56,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00156","Central","Cartier","Replace","","23-Sep-20","24-Oct-20",1,"","",0.5," 193.88 ","Account"," 31 ",80," 40.00 "," 40.00 "," 193.88 "," 233.88 "," 233.88 ","Wed","Sat",57,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00157","Southeast","Khan","Assess","","23-Sep-20","28-Oct-20",2,"","",0.5," 1.17 ","C.O.D."," 35 ",140," 70.00 "," 70.00 "," 1.17 "," 71.17 "," 71.17 ","Wed","Wed",58,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00158","Central","Michner","Assess","","24-Sep-20","05-Oct-20",2,"","",0.75," 664.79 ","Account"," 11 ",140," 105.00 "," 105.00 "," 664.79 "," 769.79 "," 769.79 ","Thu","Mon",59,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00159","Northwest","Khan","Deliver","","24-Sep-20","15-Oct-20",1,"","",0.25," 160.00 ","Account"," 21 ",80," 20.00 "," 20.00 "," 160.00 "," 180.00 "," 180.00 ","Thu","Thu",60,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00160","Northwest","Burton","Replace","","24-Sep-20","05-Nov-20",2,"","",0.75," 159.50 ","Account"," 42 ",140," 105.00 "," 105.00 "," 159.50 "," 264.50 "," 264.50 ","Thu","Thu",61,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00161","North","Cartier","Assess","","24-Sep-20","17-Nov-20",2,"","",0.75," 169.64 ","P.O."," 54 ",140," 105.00 "," 105.00 "," 169.64 "," 274.64 "," 274.64 ","Thu","Tue",62,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00162","Southwest","Burton","Replace","","28-Sep-20","30-Sep-20",2,"","",0.5," 202.86 ","Account"," 2 ",140," 70.00 "," 70.00 "," 202.86 "," 272.86 "," 272.86 ","Mon","Wed",63,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00163","South","Lopez","Assess","","28-Sep-20","07-Oct-20",1,"","",0.5," 10.53 ","P.O."," 9 ",80," 40.00 "," 40.00 "," 10.53 "," 50.53 "," 50.53 ","Mon","Wed",64,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00164","Central","Michner","Replace","","28-Sep-20","27-Oct-20",2,"","",0.75," 1.82 ","C.O.D."," 29 ",140," 105.00 "," 105.00 "," 1.82 "," 106.82 "," 106.82 ","Mon","Tue",65,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00165","South","Khan","Assess","","29-Sep-20","08-Oct-20",2,"","",0.5," 54.12 ","Account"," 9 ",140," 70.00 "," 70.00 "," 54.12 "," 124.12 "," 124.12 ","Tue","Thu",66,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00166","Northwest","Michner","Deliver","","29-Sep-20","21-Oct-20",2,"","",0.25," 367.71 ","Account"," 22 ",140," 35.00 "," 35.00 "," 367.71 "," 402.71 "," 402.71 ","Tue","Wed",67,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00167","West","Lopez","Assess","","29-Sep-20","19-Oct-20",1,"","",1.5," 139.04 ","Account"," 20 ",80," 120.00 "," 120.00 "," 139.04 "," 259.04 "," 259.04 ","Tue","Mon",68,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00168","West","Khan","Replace","","29-Sep-20","27-Oct-20",1,"","",0.5," 50.32 ","P.O."," 28 ",80," 40.00 "," 40.00 "," 50.32 "," 90.32 "," 90.32 ","Tue","Tue",69,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00169","Central","Burton","Repair","","29-Sep-20","24-Nov-20",1,"","",1.0," 122.43 ","C.O.D."," 56 ",80," 80.00 "," 80.00 "," 122.43 "," 202.43 "," 202.43 ","Tue","Tue",70,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00170","West","Khan","Assess","","29-Sep-20","02-Dec-20",1,"","",1.0," 78.55 ","P.O."," 64 ",80," 80.00 "," 80.00 "," 78.55 "," 158.55 "," 158.55 ","Tue","Wed",71,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00171","Northwest","Khan","Deliver","Yes","30-Sep-20","07-Oct-20",1,"","",0.25," 239.10 ","Account"," 7 ",80," 20.00 "," 20.00 "," 239.10 "," 259.10 "," 259.10 ","Wed","Wed",72,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00172","Central","Cartier","Replace","","30-Sep-20","19-Oct-20",1,"","",0.5," 61.18 ","C.O.D."," 19 ",80," 40.00 "," 40.00 "," 61.18 "," 101.18 "," 101.18 ","Wed","Mon",73,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00173","Northwest","Cartier","Repair","","30-Sep-20","18-Nov-20",2,"","",2.25," 800.71 ","Account"," 49 ",140," 315.00 "," 315.00 "," 800.71 "," 1,115.71 "," 1,115.71 ","Wed","Wed",74,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00174","Northwest","Khan","Assess","","01-Oct-20","26-Oct-20",1,"","",0.25," 19.20 ","Account"," 25 ",80," 20.00 "," 20.00 "," 19.20 "," 39.20 "," 39.20 ","Thu","Mon",75,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00175","South","Lopez","Assess","","05-Oct-20","13-Oct-20",1,"","",0.25," 19.50 ","Account"," 8 ",80," 20.00 "," 20.00 "," 19.50 "," 39.50 "," 39.50 ","Mon","Tue",76,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00176","South","Lopez","Deliver","","05-Oct-20","13-Oct-20",1,"","",0.25," 22.43 ","Account"," 8 ",80," 20.00 "," 20.00 "," 22.43 "," 42.43 "," 42.43 ","Mon","Tue",77,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00177","West","Burton","Assess","","05-Oct-20","13-Oct-20",1,"","",0.5," 26.58 ","Account"," 8 ",80," 40.00 "," 40.00 "," 26.58 "," 66.58 "," 66.58 ","Mon","Tue",78,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00178","Central","Cartier","Assess","","05-Oct-20","24-Oct-20",1,"","",0.5," 288.21 ","C.O.D."," 19 ",80," 40.00 "," 40.00 "," 288.21 "," 328.21 "," 328.21 ","Mon","Sat",79,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00179","South","Lopez","Replace","","05-Oct-20","19-Oct-20",1,"","",0.5," 54.24 ","Account"," 14 ",80," 40.00 "," 40.00 "," 54.24 "," 94.24 "," 94.24 ","Mon","Mon",80,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00180","West","Lopez","Assess","","06-Oct-20","19-Oct-20",1,"","",0.25," 332.40 ","P.O."," 13 ",80," 20.00 "," 20.00 "," 332.40 "," 352.40 "," 352.40 ","Tue","Mon",81,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00181","Northwest","Khan","Assess","","06-Oct-20","23-Oct-20",2,"","",0.75," 124.16 ","C.O.D."," 17 ",140," 105.00 "," 105.00 "," 124.16 "," 229.16 "," 229.16 ","Tue","Fri",82,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00182","Central","Burton","Deliver","","06-Oct-20","26-Oct-20",1,"","",0.25," 21.63 ","Account"," 20 ",80," 20.00 "," 20.00 "," 21.63 "," 41.63 "," 41.63 ","Tue","Mon",83,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00183","Northwest","Khan","Assess","","07-Oct-20","19-Oct-20",2,"","Yes",0.25," 33.00 ","C.O.D."," 12 ",140," 35.00 "," 35.00 "," -   "," 68.00 "," 35.00 ","Wed","Mon",84,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00184","Northwest","Khan","Assess","","07-Oct-20","19-Oct-20",2,"","",0.5," 154.50 ","C.O.D."," 12 ",140," 70.00 "," 70.00 "," 154.50 "," 224.50 "," 224.50 ","Wed","Mon",85,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00185","South","Lopez","Repair","","07-Oct-20","20-Oct-20",1,"","",1.0," 48.75 ","Account"," 13 ",80," 80.00 "," 80.00 "," 48.75 "," 128.75 "," 128.75 ","Wed","Tue",86,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00186","South","Lopez","Deliver","","08-Oct-20","20-Oct-20",1,"","",0.25," 76.17 ","Account"," 12 ",80," 20.00 "," 20.00 "," 76.17 "," 96.17 "," 96.17 ","Thu","Tue",87,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00187","Northwest","Khan","Replace","","08-Oct-20","07-Nov-20",1,"","",0.75," 117.00 ","C.O.D."," 30 ",80," 60.00 "," 60.00 "," 117.00 "," 177.00 "," 177.00 ","Thu","Sat",88,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00188","Northwest","Cartier","Repair","","08-Oct-20","10-Nov-20",2,"","",1.5," 1,575.97 ","C.O.D."," 33 ",140," 210.00 "," 210.00 "," 1,575.97 "," 1,785.97 "," 1,785.97 ","Thu","Tue",89,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00189","West","Khan","Replace","","08-Oct-20","18-Nov-20",1,"","",0.5," 21.33 ","P.O."," 41 ",80," 40.00 "," 40.00 "," 21.33 "," 61.33 "," 61.33 ","Thu","Wed",90,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00190","Southeast","Michner","Replace","","08-Oct-20","30-Nov-20",1,"","",0.5," 74.79 ","Account"," 53 ",80," 40.00 "," 40.00 "," 74.79 "," 114.79 "," 114.79 ","Thu","Mon",91,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00191","Northeast","Michner","Repair","","08-Oct-20","01-Dec-20",2,"","",4.75," 1,123.97 ","C.O.D."," 54 ",140," 665.00 "," 665.00 "," 1,123.97 "," 1,788.97 "," 1,788.97 ","Thu","Tue",92,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00192","Central","Burton","Assess","","12-Oct-20","26-Oct-20",2,"","",1.0," 128.98 ","Account"," 14 ",140," 140.00 "," 140.00 "," 128.98 "," 268.98 "," 268.98 ","Mon","Mon",93,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00193","West","Khan","Replace","","12-Oct-20","04-Nov-20",1,"","",0.5," 144.00 ","P.O."," 23 ",80," 40.00 "," 40.00 "," 144.00 "," 184.00 "," 184.00 ","Mon","Wed",94,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00194","Central","Michner","Assess","","12-Oct-20","05-Nov-20",2,"","",1.0," 1,211.83 ","Account"," 24 ",140," 140.00 "," 140.00 "," 1,211.83 "," 1,351.83 "," 1,351.83 ","Mon","Thu",95,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00195","South","Michner","Replace","","12-Oct-20","18-Nov-20",1,"","",0.5," 54.12 ","Account"," 37 ",80," 40.00 "," 40.00 "," 54.12 "," 94.12 "," 94.12 ","Mon","Wed",96,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00196","Northwest","Michner","Assess","Yes","12-Oct-20","19-Nov-20",1,"","",0.5," 55.94 ","C.O.D."," 38 ",80," 40.00 "," 40.00 "," 55.94 "," 95.94 "," 95.94 ","Mon","Thu",97,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
"A00197","Southeast","Michner","Assess","Yes","13-Oct-20","27-Oct-20",1,"","",0.5," 11.06 ","P.O."," 14 ",80," 40.00 "," 40.00 "," 11.06 "," 51.06 "," 51.06 ","Tue","Tue",98,"work_orders_sample_1667864342.csv","2022-07-11 23:39:02"
