"Policy","Expiry","Location","State","Region","InsuredValue","Construction","BusinessType","Earthquake","Flood","ROW_NUMBER","FILE_NAME","FILE_DATE"
100309,"2021-02-05","Urban","WI","Midwest",5000368,"Masonry","Manufacturing","N","N",51,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100413,"2021-02-05","Urban","NY","East",8397700,"Frame","Apartment","Y","Y",52,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100498,"2021-02-06","Urban","NJ","East",36356000,"Fire Resist","Apartment","Y","Y",53,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100499,"2021-02-07","Urban","NJ","East",16932600,"Fire Resist","Apartment","Y","Y",54,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100509,"2021-02-07","Urban","OH","Central",1849000,"Metal Clad","Retail","N","N",55,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100371,"2021-02-08","Urban","OH","Central",218490,"Frame","Apartment","N","N",56,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100412,"2021-02-08","Urban","NJ","East",3052600,"Frame","Apartment","Y","N",57,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100370,"2021-02-09","Urban","WI","Midwest",8126500,"Masonry","Organization","Y","Y",58,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100377,"2021-02-09","Urban","NY","East",11400000,"Masonry","Apartment","Y","Y",59,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100452,"2021-02-09","Urban","NJ","East",5918400,"Frame","Farming","Y","N",60,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100459,"2021-02-09","Rural","NY","East",2550750,"Frame","Farming","N","N",61,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100325,"2021-02-13","Urban","NY","East",140000,"Masonry","Retail","N","N",62,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100419,"2021-02-13","Urban","NY","East",725000,"Masonry","Service","N","N",63,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100512,"2021-02-13","Urban","NY","East",10098900,"Frame","Office Bldg","Y","Y",64,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100513,"2021-02-13","Rural","NY","East",2937200,"Frame","Farming","N","N",65,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100514,"2021-02-13","Urban","NJ","East",3644800,"Frame","Apartment","Y","Y",66,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100471,"2021-02-15","Urban","NY","East",13882500,"Frame","Apartment","Y","Y",67,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100396,"2021-02-16","Rural","NY","East",2050000,"Frame","Farming","N","N",68,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100436,"2021-02-17","Rural","NY","East",3805200,"Metal Clad","Farming","N","N",69,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100492,"2021-02-18","Rural","NY","East",1417800,"Frame","Organization","N","N",70,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100494,"2021-02-18","Rural","WI","Midwest",5613900,"Masonry","Farming","N","N",71,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100493,"2021-02-19","Urban","NJ","East",2471100,"Frame","Farming","N","N",72,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100351,"2021-02-20","Rural","VT","Northeast",2985950,"Frame","Farming","N","N",73,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100411,"2021-02-20","Urban","WI","Midwest",9062700,"Fire Resist","Hospitality","N","N",74,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100469,"2021-02-21","Urban","NY","East",7350000,"Frame","Apartment","Y","Y",75,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100418,"2021-02-22","Urban","NJ","East",1300900,"Masonry","Office Bldg","N","N",76,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100511,"2021-02-22","Urban","NY","East",12750000,"Frame","Apartment","Y","Y",77,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100536,"2021-02-22","Urban","NY","East",7585000,"Fire Resist","Office Bldg","Y","Y",78,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100537,"2021-02-22","Urban","NY","East",9493313,"Masonry","Apartment","Y","Y",79,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100394,"2021-02-23","Urban","NY","East",10302000,"Fire Resist","Office Bldg","Y","Y",80,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100367,"2021-02-24","Urban","NH","Northeast",2500000,"Metal Clad","Manufacturing","N","N",81,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100408,"2021-02-24","Urban","WI","Midwest",4833900,"Masonry","Office Bldg","N","N",82,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100410,"2021-02-24","Urban","NY","East",2029500,"Metal Clad","Apartment","Y","Y",83,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100369,"2021-02-25","Rural","NY","East",2233200,"Frame","Farming","N","N",84,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100409,"2021-02-25","Urban","NY","East",2001250,"Frame","Office Bldg","Y","Y",85,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100546,"2021-02-27","Rural","NY","East",1498850,"Metal Clad","Farming","N","N",86,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100434,"2021-03-01","Urban","NJ","East",405556,"Frame","Apartment","Y","N",87,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100523,"2021-03-01","Urban","NY","East",1311220,"Frame","Apartment","N","N",88,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100433,"2021-03-02","Urban","NY","East",1769785,"Frame","Hospitality","Y","Y",89,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100566,"2021-03-02","Urban","OH","Central",5377000,"Frame","Apartment","Y","Y",90,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100522,"2021-03-05","Rural","NY","East",1599860,"Frame","Farming","N","N",91,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100457,"2021-03-06","Urban","NY","East",10780450,"Frame","Apartment","Y","Y",92,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100521,"2021-03-06","Urban","NJ","East",3839200,"Masonry","Apartment","N","N",93,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100532,"2021-03-07","Urban","NJ","East",296000,"Frame","Apartment","N","N",94,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100533,"2021-03-07","Rural","WI","Midwest",2707630,"Frame","Farming","N","N",95,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100467,"2021-03-08","Urban","NJ","East",2249500,"Frame","Farming","N","N",96,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100583,"2021-03-08","Urban","NY","East",7611000,"Masonry","Office Bldg","Y","Y",97,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100404,"2021-03-09","Rural","WI","Midwest",1152600,"Frame","Farming","N","N",98,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100554,"2021-03-09","Urban","NJ","East",9115500,"Frame","Apartment","Y","Y",99,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100446,"2021-03-11","Urban","NY","East",1600000,"Masonry","Hospitality","Y","Y",100,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100465,"2021-03-12","Urban","NJ","East",2575965,"Frame","Farming","Y","N",101,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100490,"2021-03-12","Urban","NY","East",220000,"Metal Clad","Hospitality","N","N",102,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100456,"2021-03-14","Urban","NY","East",1800000,"Frame","Apartment","Y","Y",103,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100489,"2021-03-14","Urban","NJ","East",16998000,"Frame","Office Bldg","Y","Y",104,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100545,"2021-03-14","Urban","NY","East",14450000,"Frame","Office Bldg","Y","Y",105,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100543,"2021-03-15","Urban","NY","East",2835800,"Metal Clad","Manufacturing","N","N",106,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100564,"2021-03-15","Urban","WI","Midwest",2280000,"Frame","Hospitality","Y","Y",107,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100430,"2021-03-17","Urban","NJ","East",3960000,"Frame","Office Bldg","Y","Y",108,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100477,"2021-03-17","Urban","VT","Northeast",5272975,"Frame","Apartment","Y","Y",109,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100478,"2021-03-17","Urban","VT","Northeast",6354220,"Frame","Apartment","Y","Y",110,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100444,"2021-03-21","Urban","NY","East",8892200,"Masonry","Apartment","Y","Y",111,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100582,"2021-03-22","Urban","NJ","East",4651680,"Frame","Apartment","Y","Y",112,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100487,"2021-03-23","Urban","NY","East",5990067,"Frame","Apartment","N","N",113,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100519,"2021-03-25","Rural","NY","East",4102500,"Frame","Farming","N","N",114,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100462,"2021-03-26","Urban","NY","East",3400000,"Frame","Construction","Y","Y",115,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100486,"2021-03-26","Urban","NY","East",9973900,"Frame","Apartment","Y","Y",116,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100463,"2021-03-27","Urban","NY","East",15480000,"Frame","Office Bldg","Y","Y",117,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100595,"2021-03-27","Rural","NY","East",2446600,"Frame","Farming","N","N",118,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100617,"2021-03-27","Urban","VT","Northeast",8861500,"Frame","Office Bldg","N","N",119,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100580,"2021-03-30","Urban","NH","Northeast",97920,"Frame","Office Bldg","Y","Y",120,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100581,"2021-03-30","Urban","NY","East",5150000,"Frame","Apartment","Y","Y",121,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100475,"2021-03-31","Rural","WI","Midwest",1451662,"Masonry","Farming","N","N",122,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100503,"2021-03-31","Urban","NJ","East",1761960,"Masonry","Office Bldg","N","N",123,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100504,"2021-03-31","Rural","NY","East",1649105,"Frame","Farming","N","N",124,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100616,"2021-03-31","Urban","NY","East",2329500,"Frame","Apartment","N","N",125,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100614,"2021-04-03","Urban","NY","East",721500,"Frame","Apartment","Y","Y",126,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100529,"2021-04-05","Urban","NJ","East",2455000,"Frame","Apartment","Y","Y",127,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100551,"2021-04-06","Urban","NJ","East",3363463,"Frame","Farming","Y","N",128,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100501,"2021-04-07","Rural","WI","Midwest",1568100,"Frame","Farming","N","N",129,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100516,"2021-04-07","Urban","WI","Midwest",2063960,"Masonry","Organization","N","N",130,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100542,"2021-04-07","Urban","VT","Northeast",1806500,"Frame","Apartment","N","Y",131,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100625,"2021-04-07","Urban","NY","East",49837500,"Fire Resist","Apartment","Y","Y",132,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100540,"2021-04-09","Rural","NY","East",2244800,"Frame","Farming","N","N",133,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100663,"2021-04-10","Urban","NJ","East",10346950,"Frame","Office Bldg","N","Y",134,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100539,"2021-04-11","Urban","NJ","East",8150000,"Frame","Apartment","N","Y",135,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100642,"2021-04-11","Urban","NY","East",1697200,"Frame","Other","N","N",136,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100549,"2021-04-15","Urban","VT","Northeast",3334353,"Metal Clad","Farming","Y","Y",137,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100680,"2021-04-15","Rural","WI","Midwest",6020060,"Masonry","Farming","N","N",138,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100560,"2021-04-16","Urban","NY","East",1381370,"Frame","Organization","N","N",139,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100629,"2021-04-16","Urban","NY","East",2442400,"Frame","Retail","N","N",140,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100631,"2021-04-16","Urban","NJ","East",4193603,"Frame","Farming","Y","N",141,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100572,"2021-04-17","Rural","WI","Midwest",3725520,"Masonry","Farming","N","N",142,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100630,"2021-04-17","Urban","NY","East",7394300,"Frame","Apartment","Y","Y",143,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100637,"2021-04-17","Urban","NY","East",2402500,"Frame","Apartment","Y","Y",144,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100659,"2021-04-17","Urban","NJ","East",1693000,"Frame","Farming","Y","N",145,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100527,"2021-04-18","Urban","NJ","East",9148076,"Frame","Manufacturing","Y","Y",146,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100638,"2021-04-18","Urban","NJ","East",3950000,"Frame","Apartment","Y","Y",147,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100679,"2021-04-18","Urban","NJ","East",14183900,"Frame","Apartment","Y","Y",148,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100678,"2021-04-21","Urban","WI","Midwest",35245000,"Masonry","Apartment","Y","Y",149,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100570,"2021-04-22","Urban","WI","Midwest",294700,"Masonry","Office Bldg","N","N",150,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100578,"2021-04-25","Urban","OH","Central",4488000,"Frame","Apartment","N","N",151,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100611,"2021-04-25","Urban","NJ","East",1595500,"Frame","Office Bldg","Y","Y",152,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100621,"2021-04-25","Urban","MI","Central",394220,"Frame","Retail","N","N",153,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100622,"2021-04-25","Urban","WI","Midwest",723900,"Fire Resist","Office Bldg","Y","Y",154,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100623,"2021-04-25","Rural","NY","East",2006700,"Frame","Farming","N","N",155,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100604,"2021-04-26","Urban","WI","Midwest",979572,"Frame","Retail","N","N",156,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100610,"2021-04-27","Urban","NY","East",5086300,"Frame","Office Bldg","Y","Y",157,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100591,"2021-04-29","Rural","NY","East",4353100,"Frame","Farming","N","N",158,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100557,"2021-04-30","Urban","NY","East",2056700,"Frame","Other","Y","Y",159,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100636,"2021-04-30","Urban","IL","Midwest",4886675,"Masonry","Apartment","N","N",160,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100628,"2021-05-01","Rural","NY","East",1973200,"Frame","Farming","N","N",161,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100650,"2021-05-02","Urban","NY","East",4156000,"Masonry","Hospitality","Y","Y",162,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100651,"2021-05-02","Urban","NJ","East",1045000,"Frame","Apartment","Y","N",163,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100569,"2021-05-03","Urban","NY","East",800000,"Frame","Construction","N","N",164,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100609,"2021-05-03","Urban","NJ","East",4483000,"Frame","Office Bldg","Y","Y",165,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100649,"2021-05-04","Rural","NY","East",3074775,"Frame","Farming","N","N",166,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100656,"2021-05-06","Urban","MN","Midwest",1834200,"Frame","Hospitality","Y","Y",167,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100677,"2021-05-06","Urban","NY","East",13370000,"Frame","Apartment","Y","Y",168,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100704,"2021-05-06","Urban","NJ","East",14474600,"Fire Resist","Apartment","Y","Y",169,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100713,"2021-05-06","Rural","WI","Midwest",2103390,"Masonry","Farming","N","N",170,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100584,"2021-05-07","Urban","WI","Midwest",7750100,"Masonry","Other","N","N",171,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100674,"2021-05-07","Urban","NY","East",9250000,"Frame","Office Bldg","Y","Y",172,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100589,"2021-05-08","Rural","WI","Midwest",2867650,"Frame","Farming","N","N",173,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100590,"2021-05-08","Rural","WI","Midwest",2798650,"Masonry","Farming","N","N",174,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100675,"2021-05-08","Urban","NY","East",2468300,"Frame","Apartment","Y","Y",175,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100648,"2021-05-09","Urban","NY","East",270000,"Masonry","Retail","N","N",176,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100683,"2021-05-09","Urban","NJ","East",1374100,"Masonry","Office Bldg","Y","Y",177,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100647,"2021-05-10","Urban","WI","Midwest",4077100,"Masonry","Apartment","Y","Y",178,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100602,"2021-05-11","Rural","NY","East",1651300,"Frame","Farming","N","N",179,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
100672,"2021-05-11","Urban","VT","Northeast",2785000,"Frame","Organization","N","N",180,"insurance_data_sample_1667864342.xlsx","2022-07-11 23:39:02"
